product,section,content
HDI Propoelix™ Plus,deskripsi,"Produk revolusioner mengombinasikan keempat unsur potensial antikanker, HDI Propoelix™ Plus terbukti efektif sebagai terapi tambahan pada kasus kanker dan efektif untuk mengoptimalkan sistem kekebalan tubuh secara alami."
HDI Propoelix™ Plus,deskripsi,Kapsul HDI Propoelix™ Plus Lebih Menarik dan Kaya Manfaat
HDI Propoelix™ Plus,deskripsi,"Warna kapsul lebih terang dan atraktif berwarna kuning putih. •Vegetarian friendly atau aman bagi vegetarian, dengan kemasan kapsul vegecaps."
HDI Kids™ HoneyBee PollenS,deskripsi,Optimalkan Tumbuh Kembang Anak
HDI Kids™ HoneyBee PollenS,deskripsi,HDI Kids™ HoneyBee PollenS merupakan suplemen bee pollen yang diformulasikan untuk mengoptimalkan tumbuh kembang buah hati Anda. Buah hati Anda akan menyukai HDI Kids™ HoneyBee PollenS karena disajikan dalam bentuk tablet yang dapat dikunyah dengan rasa vanila dan madu yang enak.
HDI KIDS Gummy Bees,deskripsi,Enak dan Sehat Setiap Hari!
HDI KIDS Gummy Bees,deskripsi,"Dulu, menjaga kesehatan anak bisa jadi tantangan besar. Harus memperkenalkan sayur dan buah, hingga menyiapkan makanan sehat setiap hari. Tapi sekarang, nggak perlu repot lagi!"
HDI KIDS Gummy Bees,deskripsi,"HDI KIDS Gummy Bees hadir dengan rasa stroberi dan anggur hijau yang pasti disukai anak-anak, serta menggunakan perasa dan pewarna alami. Tanpa gelatin dan mengandung vitamin C, produk ini membantu memperkuat imunitas tubuh si kecil. Dengan bahan dasar alami, madu, serta ekstrak stroberi dan anggur hijau, menjadikan HDI KIDS Gummy Bees pilihan nikmat setiap hari."
HDI KIDS Hunny Bees,deskripsi,Solusi Praktis untuk Batuk si Kecil
HDI KIDS Hunny Bees,deskripsi,"Produk yang diformulasikan khusus untuk meredakan batuk, sakit tenggorokan, dan memperkuat sistem kekebalan anak. Dibuat dari kombinasi bahan-bahan berkualitas tinggi dan hadir dalam kemasan sachet dengan dosis tepat untuk anak, sehingga mudah dibawa dan dikonsumsi. Rasanya juga enak dan menyenangkan, sehingga lebih mudah memberikannya kepada anak-anak."
HDI KIDS Q Bees,deskripsi,"Tulang Kuat, Otot Sehat, dan Optimalkan Perkembangan Kognitif si Kecil"
HDI KIDS Q Bees,deskripsi,"Setiap hari, anak-anak menghadapi banyak tantangan kesehatan, mulai dari melemahnya sistem imun hingga berkurangnya fokus dan energi. Oleh karena hal itu, banyak orang tua kesulitan menemukan solusi aman dan efektif untuk mendukung kesehatan si kecil."
HDI KIDS Q Bees,deskripsi,"HDI KIDS Q Bees kini hadir sebagai inovasi suplemen untuk membantu meningkatkan kesehatan dan perkembangan otak anak. HDI KIDS Q Bees mengandung Bee Pollen yang baik untuk menjaga imunitas, ekstrak Bacoppa monnieri yang mendukung perkembangan otak, serta ekstrak alga merah yang mengandung 70 mikromineral termasuk kalsium untuk menjaga kesehatan tulangnya. Anak jadi bebas berpetualang, dengan tubuh dan otak yang sehat setiap hari!"
HDI Bone and Joint Health,deskripsi,Memelihara Kesehatan Tulang dan Persendian
HDI Bone and Joint Health,deskripsi,"Suplemen kesehatan yang diformulasikan khusus untuk membantu memelihara kesehatan tulang dan persendian. Dibuat dengan kombinasi sinergis bahan-bahan alami yang membantu meredakan nyeri sendi, mengurangi peradangan, dan meningkatkan mobilitas untuk pola hidup yang lebih sehat dan aktif."
HDI UltraX,deskripsi,Ultra Kuat. Xtra Sehat
HDI UltraX,deskripsi,"Memasuki usia 30-an, pria mulai dihadapkan pada banyak tuntutan mulai dari karier, keluarga, hingga pentingnya menjaga kesehatan, termasuk prostat. Namun, di balik itu semua, stamina yang dulu terasa melimpah perlahan mulai menurun."
HDI UltraX,deskripsi,"HDI UltraX hadir sebagai suplemen kesehatan pria yang bantu jaga stamina, vitalitas, testosteron, dan kesehatan prostat. Dengan bahan-bahan alami berkualitas tinggi, HDI UltraX bantu para pria tetap tangguh menjalani hari."
HDI TrimeeX,deskripsi,"Berat Lebih Seimbang, Hidup Lebih Sehat"
HDI TrimeeX,deskripsi,"Tahukah kamu? Menurut WHO (2022), 1,9 miliar orang dewasa mengalami kelebihan berat badan, kondisi yang dapat meningkatkan risiko diabetes, penyakit jantung, dan sindrom metabolik."
HDI TrimeeX,deskripsi,"Penyebabnya bisa karena pola makan yang kurang sehat dan kurang gerak. Karena itu, penting untuk mulai menjaga tubuh dengan cara yang alami dan menyeluruh."
HDI TrimeeX,deskripsi,"HDI TrimeeX hadir sebagai suplemen berbasis chitosan dari jamur dan bahan tumbuhan aktif untuk membantu mengelola berat badan, pencernaan sehat, dan keseimbangan metabolisme secara holistik."
HDI Herbal Remedy,deskripsi,Solusi Alami Meredakan Gejala Flu dan Batuk untuk Seluruh Keluarga
HDI Herbal Remedy,deskripsi,"HDI Herbal Remedy tidak hanya mengandung madu, namun juga bahan natural lain yang aman dan bekerja sinergis untuk memaksimalkan efek pada iritasi tenggorokan, batuk & flu. HDI Herbal Remedy bebas dari pemanis, pewarna buatan, dan alkohol, sehingga terasa nyaman di tenggorokan."
